state_name,crop_name,apy_item_interval_start,temperature_recorded_date,state_temperature_max_val,state_temperature_min_val,state_rainfall_val,yield,FRL,Live Cap FRL,Level,Current Live Storage
Andhra Pradesh,potato,2012,01-01-2012,31.05,17.86,10.92,15.31692,337.152584,0.198465368,174.5687804,0.782629383
Andhra Pradesh,potato,2012,02-01-2012,32.33,17.19,2.29,15.31692,337.152584,0.198465368,174.5654471,0.781853002
Andhra Pradesh,potato,2012,03-01-2012,33.15,16.89,0.71,15.31692,337.152584,0.198465368,174.5632249,0.781850142
Andhra Pradesh,potato,2012,04-01-2012,33.95,17.7,0,15.31692,337.152584,0.198465368,174.5576693,0.780743761
Andhra Pradesh,potato,2012,05-01-2012,33.79,17.61,0,15.31692,337.152584,0.198465368,174.5487804,0.780602771
Andhra Pradesh,potato,2012,06-01-2012,33.29,17.08,0,15.31692,337.152584,0.198465368,174.5398916,0.778543607
Andhra Pradesh,potato,2012,07-01-2012,33.54,14.65,0,15.31692,337.152584,0.198465368,174.5198916,0.775371154
Andhra Pradesh,potato,2012,08-01-2012,33.96,15.02,0,15.31692,337.152584,0.198465368,174.5098916,0.773341055
Andhra Pradesh,potato,2012,09-01-2012,33.39,14.94,0,15.31692,337.152584,0.198465368,174.4921138,0.772160251
Andhra Pradesh,potato,2012,10-01-2012,31.66,14.92,0,15.31692,337.152584,0.198465368,174.464336,0.76985057
Andhra Pradesh,potato,2012,11-01-2012,28.97,15.94,6.03,15.31692,337.152584,0.198465368,174.4655538,0.768521197
Andhra Pradesh,potato,2012,12-01-2012,29.92,13.72,1.58,15.31692,337.152584,0.198465368,174.4522204,0.767619195
Andhra Pradesh,potato,2012,13-01-2012,30.23,11.41,0,15.31692,337.152584,0.198465368,174.4299982,0.764168215
Andhra Pradesh,potato,2012,14-01-2012,29.77,9.48,0,15.31692,337.152584,0.198465368,174.4033316,0.760858534
Andhra Pradesh,potato,2012,15-01-2012,30.32,8.95,0,15.31692,337.152584,0.198465368,174.3744427,0.756618864
Andhra Pradesh,potato,2012,16-01-2012,31.43,9.55,0,15.31692,337.152584,0.198465368,174.3455538,0.752580658
Andhra Pradesh,potato,2012,17-01-2012,32.59,9.75,0,15.31692,337.152584,0.198465368,174.3155538,0.746447819
Andhra Pradesh,potato,2012,18-01-2012,32.98,11.59,0,15.31692,337.152584,0.198465368,174.2844427,0.741911317
Andhra Pradesh,potato,2012,19-01-2012,32.92,12.83,0,15.31692,337.152584,0.198465368,174.2433316,0.733612957
Andhra Pradesh,potato,2012,20-01-2012,32.43,13.78,0,15.31692,337.152584,0.198465368,174.1866649,0.720796246
Andhra Pradesh,potato,2012,21-01-2012,32.38,13.37,0,15.31692,337.152584,0.198465368,174.1527493,0.715640371
Andhra Pradesh,potato,2012,22-01-2012,31.99,14.24,0,15.31692,337.152584,0.198465368,174.1227493,0.711601438
Andhra Pradesh,potato,2012,23-01-2012,31.89,14.1,0.1,15.31692,337.152584,0.198465368,174.0827493,0.707547763
Andhra Pradesh,potato,2012,24-01-2012,32.29,14.78,0,15.31692,337.152584,0.198465368,174.0483049,0.703339237
Andhra Pradesh,potato,2012,25-01-2012,31.96,14.14,0,15.31692,337.152584,0.198465368,174.0160827,0.699141999
Andhra Pradesh,potato,2012,26-01-2012,32.55,12.92,0,15.31692,337.152584,0.198465368,173.9805271,0.694218456
Andhra Pradesh,potato,2012,27-01-2012,32.9,13.36,0,15.31692,337.152584,0.198465368,173.9455004,0.689964264
Andhra Pradesh,potato,2012,28-01-2012,32.15,14.39,2.39,15.31692,337.152584,0.198465368,173.9121671,0.685606828
Andhra Pradesh,potato,2012,29-01-2012,32.12,15.02,0,15.31692,337.152584,0.198465368,173.8666116,0.679645903
Andhra Pradesh,potato,2012,30-01-2012,31.57,15.28,4.01,15.31692,337.152584,0.198465368,173.831056,0.675861833
Andhra Pradesh,potato,2012,31-01-2012,32.08,14.83,0.13,15.31692,337.152584,0.198465368,173.7921671,0.670725716
Andhra Pradesh,potato,2012,01-02-2012,32.3,14.89,0,15.31692,337.152584,0.198465368,173.5619849,0.664665639
Andhra Pradesh,potato,2012,02-02-2012,32.07,14.62,0,15.31692,337.152584,0.198465368,173.513096,0.65903434
Andhra Pradesh,potato,2012,03-02-2012,31.87,14.16,0,15.31692,337.152584,0.198465368,173.4636249,0.652644142
Andhra Pradesh,potato,2012,04-02-2012,32.39,13.91,0,15.31692,337.152584,0.198465368,173.424736,0.647174758
Andhra Pradesh,potato,2012,05-02-2012,33.15,14.18,0,15.31692,337.152584,0.198465368,173.3919849,0.643366001
Andhra Pradesh,potato,2012,06-02-2012,34.05,14.84,0,15.31692,337.152584,0.198465368,173.3597627,0.640407127
Andhra Pradesh,potato,2012,07-02-2012,34.67,14.75,0,15.31692,337.152584,0.198465368,173.3297627,0.636612729
Andhra Pradesh,potato,2012,08-02-2012,34.97,15.2,0,15.31692,337.152584,0.198465368,173.2758471,0.626706619
Andhra Pradesh,potato,2012,09-02-2012,32.67,16.57,0,15.31692,337.152584,0.198465368,173.2336249,0.620248474
Andhra Pradesh,potato,2012,10-02-2012,34.15,15.87,0,15.31692,337.152584,0.198465368,173.1991804,0.612883338
Andhra Pradesh,potato,2012,11-02-2012,33.72,16.09,0,15.31692,337.152584,0.198465368,173.1252649,0.604019799
Andhra Pradesh,potato,2012,12-02-2012,33.94,15.93,0,15.31692,337.152584,0.198465368,173.0097093,0.591120198
Andhra Pradesh,potato,2012,13-02-2012,34.63,17.53,0,15.31692,337.152584,0.198465368,173.0397093,0.584910323
Andhra Pradesh,potato,2012,14-02-2012,35.11,16.97,0,15.31692,337.152584,0.198465368,172.9957938,0.580703038
Andhra Pradesh,potato,2012,15-02-2012,35.37,16.16,0,15.31692,337.152584,0.198465368,172.9491271,0.574278334
Andhra Pradesh,potato,2012,16-02-2012,35.77,15.88,0,15.31692,337.152584,0.198465368,172.8746827,0.567411139
Andhra Pradesh,potato,2012,17-02-2012,35,17.12,0,15.31692,337.152584,0.198465368,172.7985449,0.555296985
Andhra Pradesh,potato,2012,18-02-2012,34.47,17.27,0,15.31692,337.152584,0.198465368,172.719656,0.544264411
Andhra Pradesh,potato,2012,19-02-2012,35.79,16.14,0,15.31692,337.152584,0.198465368,172.6929893,0.542719546
Andhra Pradesh,potato,2012,20-02-2012,36.66,14.69,0,15.31692,337.152584,0.198465368,172.5846293,0.523661405
Andhra Pradesh,potato,2012,21-02-2012,37.02,15.86,0,15.31692,337.152584,0.198465368,172.5079627,0.516063979
Andhra Pradesh,potato,2012,22-02-2012,36.54,15.79,0,15.31692,337.152584,0.198465368,172.4624071,0.510317279
Andhra Pradesh,potato,2012,23-02-2012,37.35,16.66,0,15.31692,337.152584,0.198465368,172.4151582,0.506351525
Andhra Pradesh,potato,2012,24-02-2012,37.32,15.38,0,15.31692,337.152584,0.198465368,172.3673804,0.501296339
Andhra Pradesh,potato,2012,25-02-2012,37.42,15.27,0,15.31692,337.152584,0.198465368,172.3062693,0.495063203
Andhra Pradesh,potato,2012,26-02-2012,37.03,14.27,0,15.31692,337.152584,0.198465368,172.2612427,0.491068373
