state_group,year,state_temperature_max_val,state_temperature_min_val,state_rainfall_val,yield,raw_names
uttarakhand,2000,29.042361111111113,14.194444444444445,670.92,22.88352,Uttarakhand
uttarakhand,2001,29.674999999999997,14.50888888888889,432.27,21.20997,Uttarakhand
uttarakhand,2002,29.803472222222222,14.456666666666665,857.42,21.12392,Uttarakhand
uttarakhand,2006,30.599097222222227,15.308333333333334,420.91,10.9776,Uttarakhand
uttarakhand,2007,29.852291666666662,14.38388888888889,604.14,8.04467,Uttarakhand
uttarakhand,2008,29.623333333333335,14.186736111111111,456.55,10.75583,Uttarakhand
uttarakhand,2009,30.31861111111111,14.135208333333333,513.24,12.00851,Uttarakhand
uttarakhand,2010,30.10548611111111,14.350277777777778,663.15,12.68976,Uttarakhand
uttarakhand,2011,29.278333333333332,14.365069444444446,428.72,12.06333,Uttarakhand
uttarakhand,2012,29.825555555555557,14.190972222222221,444.76,12.07674,Uttarakhand
uttarakhand,2013,29.06402777777778,14.311597222222222,574.01,10.85409,Uttarakhand
uttarakhand,2014,29.95298611111111,14.090069444444445,411.74,9.59616,Uttarakhand
uttarakhand,2015,29.52548611111111,14.354791666666667,550.51,8.40921,Uttarakhand
uttarakhand,2016,30.690694444444446,15.108888888888888,506.07,11.98734,Uttarakhand
uttarakhand,2017,30.112638888888892,14.511875,737.08,13.09233,Uttarakhand
uttarakhand,2018,29.734027777777776,14.157777777777778,594.98,12.12412,Uttarakhand
uttarakhand,2019,29.804305555555555,14.342083333333335,564.63,11.85946,Uttarakhand
uttarakhand,2020,29.15236111111111,13.829027777777776,594.54,11.55998,Uttarakhand
uttarakhand,2021,30.274513888888887,14.869444444444444,517.12,12.93403,Uttarakhand
uttarakhand,2022,30.212430555555557,15.393333333333333,680.99,12.52321,Uttarakhand
